"measure","scenario","period","climset","strategy","value","value_hist"
"Copco1 Mean Spill Volume per Year","CT",2030,"CMIP3","Reduce ET 30%",288.935,186.3791
"Copco1 Mean Spill Volume per Year","CT",2030,"CMIP3","Reduce ET 50%",289.7193,186.3791
"Copco1 Mean Spill Volume per Year","CT",2030,"CMIP5","Add 30KAF",362.8652,186.3791
"Copco1 Mean Spill Volume per Year","CT",2030,"CMIP5","Baseline",351.3173,186.3791
"Copco1 Mean Spill Volume per Year","CT",2030,"CMIP5","Reduce ET 30%",353.0174,186.3791
"Copco1 Mean Spill Volume per Year","CT",2030,"CMIP5","Reduce ET 50%",354.3464,186.3791
"Copco1 Mean Spill Volume per Year","WD",2070,"CMIP3","Add 30KAF",239.0322,186.3791
"Copco1 Mean Spill Volume per Year","WD",2070,"CMIP3","Baseline",228.8718,186.3791
"Copco1 Mean Spill Volume per Year","WD",2070,"CMIP3","Reduce ET 30%",229.995,186.3791
"Copco1 Mean Spill Volume per Year","WD",2070,"CMIP3","Reduce ET 50%",230.9022,186.3791
"Copco1 Mean Spill Volume per Year","WD",2070,"CMIP5","Add 30KAF",242.2517,186.3791
"Copco1 Mean Spill Volume per Year","WD",2070,"CMIP5","Baseline",233.6029,186.3791
